id,title,difficulty,related_topics,acceptance_rate,url,rating,asked_by_faang
1,Two Sum,Easy,"Array,Hash Table",46.7,https://leetcode.com/problems/two-sum,97,1
2,Add Two Numbers,Medium,"Linked List,Math,Recursion",35.7,https://leetcode.com/problems/add-two-numbers,81,1
3,Longest Substring Without Repeating Characters,Medium,"Hash Table,Two Pointers,String,Sliding Window",31.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,95,1
4,Median of Two Sorted Arrays,Hard,"Array,Binary Search,Divide and Conquer",31.4,https://leetcode.com/problems/median-of-two-sorted-arrays,87,1
5,Longest Palindromic Substring,Medium,"String,Dynamic Programming",30.6,https://leetcode.com/problems/longest-palindromic-substring,94,1
6,ZigZag Conversion,Medium,String,38.2,https://leetcode.com/problems/zigzag-conversion,29,0
7,Reverse Integer,Easy,Math,25.9,https://leetcode.com/problems/reverse-integer,39,1
8,String to Integer (atoi),Medium,"Math,String",15.7,https://leetcode.com/problems/string-to-integer-atoi,28,1
9,Palindrome Number,Easy,Math,50.0,https://leetcode.com/problems/palindrome-number,65,1
10,Regular Expression Matching,Hard,"String,Dynamic Programming,Backtracking",27.4,https://leetcode.com/problems/regular-expression-matching,87,1
11,Container With Most Water,Medium,"Array,Two Pointers",52.9,https://leetcode.com/problems/container-with-most-water,93,1
12,Integer to Roman,Medium,"Math,String",57.1,https://leetcode.com/problems/integer-to-roman,35,1
13,Roman to Integer,Easy,"Math,String",57.0,https://leetcode.com/problems/roman-to-integer,91,1
14,Longest Common Prefix,Easy,String,36.2,https://leetcode.com/problems/longest-common-prefix,64,1
15,3Sum,Medium,"Array,Two Pointers",28.3,https://leetcode.com/problems/3sum,91,1
16,3Sum Closest,Medium,"Array,Two Pointers",46.3,https://leetcode.com/problems/3sum-closest,95,1
17,Letter Combinations of a Phone Number,Medium,"String,Backtracking,Depth-first Search,Recursion",49.5,https://leetcode.com/problems/letter-combinations-of-a-phone-number,92,1
18,4Sum,Medium,"Array,Hash Table,Two Pointers",35.1,https://leetcode.com/problems/4sum,89,1
19,Remove Nth Node From End of List,Medium,"Linked List,Two Pointers",35.9,https://leetcode.com/problems/remove-nth-node-from-end-of-list,94,1
20,Valid Parentheses,Easy,"String,Stack",40.0,https://leetcode.com/problems/valid-parentheses,96,1
21,Merge Two Sorted Lists,Easy,"Linked List,Recursion",56.4,https://leetcode.com/problems/merge-two-sorted-lists,90,1
22,Generate Parentheses,Medium,"String,Backtracking",65.7,https://leetcode.com/problems/generate-parentheses,96,1
23,Merge k Sorted Lists,Hard,"Linked List,Divide and Conquer,Heap",43.0,https://leetcode.com/problems/merge-k-sorted-lists,95,1
24,Swap Nodes in Pairs,Medium,"Linked List,Recursion",53.5,https://leetcode.com/problems/swap-nodes-in-pairs,94,1
25,Reverse Nodes in k-Group,Hard,Linked List,45.3,https://leetcode.com/problems/reverse-nodes-in-k-group,90,1
26,Remove Duplicates from Sorted Array,Easy,"Array,Two Pointers",46.8,https://leetcode.com/problems/remove-duplicates-from-sorted-array,36,1
